value,step,phi
12,5680,0.602603
12,5700,0.648768
12,5720,0.700739
12,5740,0.645080
12,5760,0.622057
12,5780,0.591362
12,5800,0.585333
12,5820,0.605507
12,5840,0.634068
12,5860,0.614616
12,5880,0.703548
12,5900,0.688976
12,5920,0.604065
12,5940,0.520808
12,5960,0.495426
12,5980,0.461227
12,6000,0.482485
12,6020,0.421566
12,6040,0.379957
12,6060,0.406618
12,6080,0.367879
12,6100,0.403839
12,6120,0.265978
12,6140,0.204419
12,6160,0.198388
12,6180,0.164581
12,6200,0.099133
12,6220,0.071982
12,6240,0.116908
12,6260,0.195197
12,6280,0.371092
12,6300,0.552364
12,6320,0.522723
12,6340,0.264100
12,6360,0.303095
12,6380,0.342189
12,6400,0.273934
12,6420,0.277371
12,6440,0.182275
12,6460,0.196438
12,6480,0.201538
12,6500,0.138433
12,6520,0.182525
12,6540,0.259757
12,6560,0.222879
12,6580,0.157098
12,6600,0.142865
12,6620,0.142138
12,6640,0.206156
12,6660,0.174625
12,6680,0.126220
12,6700,0.133044
12,6720,0.215711
12,6740,0.282386
12,6760,0.295849
12,6780,0.333679
12,6800,0.349584
12,6820,0.355824
12,6840,0.393490
12,6860,0.398121
12,6880,0.316166
12,6900,0.288616
12,6920,0.374804
12,6940,0.497837
12,6960,0.580292
12,6980,0.465133
12,7000,0.526334
12,7020,0.581735
12,7040,0.625631
12,7060,0.622722
12,7080,0.513121
12,7100,0.423223
12,7120,0.376130
12,7140,0.388436
12,7160,0.378338
12,7180,0.402374
12,7200,0.350453
12,7220,0.349698
12,7240,0.349075
12,7260,0.296395
12,7280,0.315821
12,7300,0.343464
12,7320,0.326442
12,7340,0.304952
12,7360,0.304720
12,7380,0.246008
12,7400,0.241452
12,7420,0.229987
12,7440,0.224409
12,7460,0.215693
12,7480,0.209272
12,7500,0.136415
12,7520,0.098453
12,7540,0.165469
12,7560,0.209640
12,7580,0.146710
12,7600,0.237927
12,7620,0.256966
12,7640,0.374265
12,7660,0.395420
12,7680,0.543427
12,7700,0.615317
12,7720,0.612835
12,7740,0.601668
12,7760,0.606413
12,7780,0.568720
12,7800,0.552158
12,7820,0.566818
12,7840,0.544262
12,7860,0.560321
12,7880,0.502124
12,7900,0.431348
12,7920,0.425955
12,7940,0.419878
12,7960,0.369998
12,7980,0.313147
12,8000,0.354143
12,8020,0.401024
12,8040,0.519368
12,8060,0.599314
12,8080,0.643636
12,8100,0.546042
12,8120,0.527153
12,8140,0.530412
12,8160,0.358212
12,8180,0.378462
12,8200,0.397095
12,8220,0.395161
12,8240,0.376372
12,8260,0.372026
12,8280,0.429070
12,8300,0.430267
12,8320,0.425231
12,8340,0.458029
12,8360,0.360598
12,8380,0.283840
12,8400,0.297975
12,8420,0.390415
12,8440,0.399580
12,8460,0.422670
12,8480,0.408714
12,8500,0.310142
12,8520,0.183252
12,8540,0.200492
12,8560,0.274377
12,8580,0.345288
12,8600,0.443483
12,8620,0.451529
12,8640,0.428665
12,8660,0.473978
12,8680,0.410438
12,8700,0.433027
12,8720,0.467665
12,8740,0.503084
12,8760,0.467737
12,8780,0.397493
12,8800,0.380856
12,8820,0.480965
12,8840,0.558902
12,8860,0.687139
12,8880,0.738461
12,8900,0.741091
12,8920,0.633844
12,8940,0.555380
12,8960,0.597367
12,8980,0.585040
48,0,0.055970
48,20,0.081625
48,40,0.104659
48,60,0.142498
48,80,0.130690
48,100,0.148993
48,120,0.164345
48,140,0.148976
48,160,0.201091
48,180,0.220312
48,200,0.264542
48,220,0.238860
48,240,0.302919
48,260,0.299555
48,280,0.242432
48,300,0.197917
48,320,0.244795
48,340,0.244276
48,360,0.261744
48,380,0.250644
48,400,0.278906
48,420,0.392261
48,440,0.336889
48,460,0.314238
48,480,0.266061
48,500,0.268815
48,520,0.231435
48,540,0.265606
48,560,0.316869
48,580,0.319283
48,600,0.300204
48,620,0.204783
48,640,0.187898
48,660,0.196757
48,680,0.285912
48,700,0.220277
48,720,0.235816
48,740,0.250327
48,760,0.320539
48,780,0.375954
48,800,0.411662
48,820,0.101484
48,840,0.309880
48,860,0.261187
48,880,0.249749
48,900,0.181890
48,920,0.147789
48,940,0.223978
48,960,0.200960
48,980,0.172566
48,1000,0.243409
48,1020,0.176531
48,1040,0.240078
48,1060,0.221716
48,1080,0.193641
48,1100,0.152926
48,1120,0.149911
48,1140,0.278581
48,1160,0.311599
48,1180,0.300344
48,1200,0.380708
48,1220,0.359031
48,1240,0.380627
48,1260,0.318543
48,1280,0.304403
48,1300,0.300723
48,1320,0.313495
48,1340,0.316043
48,1360,0.259160
48,1380,0.240208
48,1400,0.216369
48,1420,0.264798
48,1440,0.349092
48,1460,0.359109
48,1480,0.372567
48,1500,0.294832
48,1520,0.451124
48,1540,0.390491
48,1560,0.366970
48,1580,0.401447
48,1600,0.419957
48,1620,0.371128
48,1640,0.134102
48,1660,0.170134
48,1680,0.250245
48,1700,0.185544
48,1720,0.220051
48,1740,0.213775
48,1760,0.339363
48,1780,0.374610
48,1800,0.372114
48,1820,0.398707
48,1840,0.394292
48,1860,0.514724
48,1880,0.483949
48,1900,0.395943
48,1920,0.453114
48,1940,0.454641
48,1960,0.465660
48,1980,0.491918
48,2000,0.505199
48,2020,0.507395
48,2040,0.483453
48,2060,0.324046
48,2080,0.337505
48,2100,0.367440
48,2120,0.310039
48,2140,0.276579
48,2160,0.672207
48,2180,0.578700
48,2200,0.618796
48,2220,0.641838
48,2240,0.644739
48,2260,0.638391
48,2280,0.607184
48,2300,0.553131
48,2320,0.538185
48,2340,0.520329
48,2360,0.517826
48,2380,0.510222
48,2400,0.441096
48,2420,0.579012
48,2440,0.608363
48,2460,0.591593
48,2480,0.527683
48,2500,0.660274
48,2520,0.507965
48,2540,0.571895
48,2560,0.578922
48,2580,0.579321
48,2600,0.584383
48,2620,0.585290
48,2640,0.603133
48,2660,0.607369
48,2680,0.590227
48,2700,0.568431
48,2720,0.536991
48,2740,0.474355
48,2760,0.366794
48,2780,0.436352
48,2800,0.662666
48,2820,0.480662
48,2840,0.242582
48,2860,0.265617
48,2880,0.277187
48,2900,0.266580
48,2920,0.246611
48,2940,0.494142
48,2960,0.336509
48,2980,0.289136
48,3000,0.269701
48,3020,0.242567
48,3040,0.229102
48,3060,0.228745
48,3080,0.454080
48,3100,0.571486
48,3120,0.552251
48,3140,0.651528
48,3160,0.712763
48,3180,0.602851
48,3200,0.448541
48,3220,0.433517
48,3240,0.408372
48,3260,0.393529
48,3280,0.400364
48,3300,0.391300
48,3320,0.613897
48,3340,0.712155
48,3360,0.684329
48,3380,0.678867
48,3400,0.668426
48,3420,0.509314
48,3440,0.530775
48,3460,0.547240
48,3480,0.510781
48,3500,0.479435
48,3520,0.486102
48,3540,0.537996
48,3560,0.798053
48,3580,0.869550
48,3600,0.593891
48,3620,0.434893
48,3640,0.445085
48,3660,0.454716
48,3680,0.428632
48,3700,0.404303
48,3720,0.371898
48,3740,0.370133
48,3760,0.384962
48,3780,0.555068
48,3800,0.638586
48,3820,0.752553
48,3840,0.866759
48,3860,0.964406
48,3880,0.858139
48,3900,0.735919
48,3920,0.958689
48,3940,0.977474
48,3960,0.859980
48,3980,0.769630
48,4000,0.968636
48,4020,0.978612
48,4040,0.980505
48,4060,0.981514
48,4080,0.982501
48,4100,0.982549
48,4120,0.981388
48,4140,0.981531
48,4160,0.981410
48,4180,0.980494
48,4200,0.980289
48,4220,0.981123
48,4240,0.980752
48,4260,0.980384
48,4280,0.980251
48,4300,0.955971
48,4320,0.937738
48,4340,0.775117
48,4360,0.745468
48,4380,0.948822
48,4400,0.993084
48,4420,0.994180
48,4440,0.994222
48,4460,0.992870
48,4480,0.991690
48,4500,0.629162
48,4520,0.942767
48,4540,0.958197
48,4560,0.960178
48,4580,0.961871
48,4600,0.962650
48,4620,0.961765
48,4640,0.962144
48,4660,0.961115
48,4680,0.961897
48,4700,0.961875
48,4720,0.961412
48,4740,0.961873
48,4760,0.961798
48,4780,0.879124
48,4800,0.750974
48,4820,0.858936
48,4840,0.970431
48,4860,0.975553
48,4880,0.976617
48,4900,0.978017
48,4920,0.979461
48,4940,0.978477
48,4960,0.977429
48,4980,0.848944
48,5000,0.747950
48,5020,0.678291
48,5040,0.976348
48,5060,0.992907
48,5080,0.994959
48,5100,0.994466
48,5120,0.994069
48,5140,0.993381
48,5160,0.992395
48,5180,0.992391
48,5200,0.993033
48,5220,0.928664
48,5240,0.560820
48,5260,0.948435
48,5280,0.960694
48,5300,0.963210
48,5320,0.964289
48,5340,0.964700
48,5360,0.964587
48,5380,0.987492
48,5400,0.986733
48,5420,0.986964
48,5440,0.987375
48,5460,0.987571
48,5480,0.987660
48,5500,0.984246
48,5520,0.977803
48,5540,0.969007
48,5560,0.967317
48,5580,0.933129
48,5600,0.835638
48,5620,0.780616
48,5640,0.809669
48,5660,0.891970
48,5680,0.907430
48,5700,0.630519
48,5720,0.967972
48,5740,0.964744
48,5760,0.965842
48,5780,0.906263
48,5800,0.907386
48,5820,0.907867
48,5840,0.907914
48,5860,0.912249
48,5880,0.935141
48,5900,0.967621
48,5920,0.970673
48,5940,0.969983
