visual_range,seed,mean_phi,sem_phi_within_run,mean_neighbours,rms_spread
12.0,1001,0.945194,0.001763,58.9747,115.64
12.0,1002,0.934370,0.002068,58.9472,117.72
12.0,1003,0.940117,0.002046,58.9750,111.33
12.0,1004,0.941194,0.002028,58.9861,107.85
12.0,1005,0.940367,0.001952,58.9803,110.74
12.0,1006,0.947200,0.001886,58.9906,109.52
12.0,1007,0.945424,0.001784,58.9864,109.06
12.0,1008,0.940168,0.001855,58.9481,114.91
12.0,1009,0.940317,0.002133,58.9817,112.51
12.0,1010,0.941649,0.001861,58.9803,110.34
12.0,1011,0.937011,0.002061,58.9856,113.70
16.0,1000,0.939098,0.001928,58.9992,110.38
16.0,1001,0.945297,0.001933,58.9997,111.60
16.0,1002,0.940086,0.001979,59.0000,107.93
16.0,1003,0.936842,0.002199,59.0000,112.05
16.0,1004,0.941406,0.001997,59.0000,115.26
16.0,1005,0.935846,0.002081,58.9986,111.21
16.0,1006,0.936578,0.001985,59.0000,109.64
16.0,1007,0.932637,0.002354,59.0000,114.17
16.0,1008,0.936803,0.002072,58.9992,112.54
16.0,1009,0.938698,0.002046,59.0000,117.19
16.0,1010,0.942422,0.001765,58.9994,112.01
16.0,1011,0.948612,0.001844,58.9997,107.14
