value,step,phi
0.5,4720,0.167566
0.5,4740,0.067341
0.5,4760,0.087417
0.5,4780,0.072549
0.5,4800,0.141126
0.5,4820,0.172089
0.5,4840,0.140640
0.5,4860,0.141721
0.5,4880,0.155789
0.5,4900,0.149940
0.5,4920,0.154510
0.5,4940,0.161439
0.5,4960,0.149013
0.5,4980,0.153197
0.5,5000,0.111495
0.5,5020,0.093939
0.5,5040,0.102658
0.5,5060,0.094873
0.5,5080,0.092294
0.5,5100,0.079878
0.5,5120,0.072833
0.5,5140,0.087469
0.5,5160,0.056690
0.5,5180,0.053514
0.5,5200,0.042303
0.5,5220,0.062475
0.5,5240,0.070297
0.5,5260,0.065481
0.5,5280,0.081208
0.5,5300,0.063501
0.5,5320,0.097376
0.5,5340,0.121684
0.5,5360,0.062376
0.5,5380,0.051479
0.5,5400,0.070325
0.5,5420,0.048417
0.5,5440,0.039252
0.5,5460,0.038516
0.5,5480,0.098390
0.5,5500,0.082218
0.5,5520,0.099731
0.5,5540,0.111465
0.5,5560,0.079451
0.5,5580,0.099035
0.5,5600,0.048466
0.5,5620,0.110450
0.5,5640,0.066109
0.5,5660,0.070263
0.5,5680,0.072464
0.5,5700,0.068754
0.5,5720,0.095298
0.5,5740,0.058932
0.5,5760,0.077493
0.5,5780,0.076099
0.5,5800,0.095960
0.5,5820,0.119959
0.5,5840,0.181852
0.5,5860,0.115835
0.5,5880,0.122533
0.5,5900,0.142645
0.5,5920,0.153148
0.5,5940,0.147443
0.5,5960,0.186463
0.5,5980,0.183672
0.5,6000,0.141864
0.5,6020,0.185535
0.5,6040,0.159123
0.5,6060,0.047396
0.5,6080,0.041296
0.5,6100,0.048575
0.5,6120,0.086665
0.5,6140,0.101281
0.5,6160,0.132922
0.5,6180,0.092085
0.5,6200,0.059908
0.5,6220,0.108387
0.5,6240,0.132881
0.5,6260,0.095898
0.5,6280,0.074496
0.5,6300,0.088237
0.5,6320,0.054479
0.5,6340,0.032458
0.5,6360,0.043492
0.5,6380,0.112934
0.5,6400,0.102279
0.5,6420,0.075204
0.5,6440,0.130095
0.5,6460,0.140567
0.5,6480,0.185454
0.5,6500,0.141019
0.5,6520,0.189479
0.5,6540,0.188557
0.5,6560,0.184784
0.5,6580,0.111373
0.5,6600,0.103300
0.5,6620,0.081123
0.5,6640,0.108640
0.5,6660,0.110487
0.5,6680,0.105987
0.5,6700,0.124423
0.5,6720,0.082118
0.5,6740,0.053423
0.5,6760,0.053855
0.5,6780,0.043042
0.5,6800,0.033692
0.5,6820,0.085042
0.5,6840,0.134999
0.5,6860,0.107958
0.5,6880,0.119703
0.5,6900,0.120541
0.5,6920,0.132288
0.5,6940,0.118799
0.5,6960,0.125029
0.5,6980,0.117090
0.5,7000,0.065555
0.5,7020,0.154002
0.5,7040,0.186249
0.5,7060,0.137053
0.5,7080,0.114297
0.5,7100,0.139553
0.5,7120,0.147676
0.5,7140,0.146720
0.5,7160,0.164114
0.5,7180,0.195371
0.5,7200,0.176190
0.5,7220,0.067116
0.5,7240,0.062734
0.5,7260,0.118052
0.5,7280,0.143629
0.5,7300,0.147538
0.5,7320,0.136474
0.5,7340,0.139678
0.5,7360,0.140163
0.5,7380,0.132180
0.5,7400,0.112660
0.5,7420,0.200181
0.5,7440,0.202524
0.5,7460,0.207475
0.5,7480,0.084470
0.5,7500,0.058037
0.5,7520,0.064196
0.5,7540,0.045611
0.5,7560,0.036369
0.5,7580,0.043244
0.5,7600,0.075470
0.5,7620,0.150417
0.5,7640,0.159199
0.5,7660,0.134651
0.5,7680,0.126470
0.5,7700,0.128396
0.5,7720,0.132249
0.5,7740,0.133859
0.5,7760,0.146621
0.5,7780,0.132883
0.5,7800,0.172462
0.5,7820,0.205952
0.5,7840,0.201276
0.5,7860,0.204145
0.5,7880,0.177673
0.5,7900,0.181442
0.5,7920,0.180253
0.5,7940,0.151705
0.5,7960,0.143961
0.5,7980,0.150697
0.5,8000,0.201955
0.5,8020,0.214048
0.5,8040,0.209778
0.5,8060,0.242454
0.5,8080,0.138333
0.5,8100,0.111100
0.5,8120,0.111432
0.5,8140,0.118756
0.5,8160,0.119805
0.5,8180,0.085134
0.5,8200,0.078921
0.5,8220,0.060132
0.5,8240,0.057296
0.5,8260,0.110832
0.5,8280,0.126109
0.5,8300,0.127189
0.5,8320,0.202498
0.5,8340,0.148987
0.5,8360,0.181815
0.5,8380,0.208412
0.5,8400,0.184041
0.5,8420,0.195564
0.5,8440,0.228987
0.5,8460,0.291380
0.5,8480,0.093111
0.5,8500,0.090531
0.5,8520,0.113484
0.5,8540,0.173376
0.5,8560,0.160684
0.5,8580,0.171110
0.5,8600,0.185198
0.5,8620,0.220956
0.5,8640,0.209198
0.5,8660,0.204598
0.5,8680,0.194609
0.5,8700,0.173409
0.5,8720,0.133598
0.5,8740,0.106590
0.5,8760,0.156374
0.5,8780,0.104455
0.5,8800,0.152008
0.5,8820,0.152399
0.5,8840,0.145545
0.5,8860,0.098703
0.5,8880,0.113471
0.5,8900,0.119690
0.5,8920,0.120806
0.5,8940,0.185427
0.5,8960,0.206201
0.5,8980,0.199763
1.5,0,0.054928
1.5,20,0.099106
1.5,40,0.073424
1.5,60,0.072777
1.5,80,0.078798
1.5,100,0.086185
1.5,120,0.069593
1.5,140,0.100635
1.5,160,0.099145
1.5,180,0.110297
1.5,200,0.117325
1.5,220,0.088403
1.5,240,0.088135
1.5,260,0.086351
1.5,280,0.101657
1.5,300,0.072058
1.5,320,0.075468
1.5,340,0.092464
1.5,360,0.110222
1.5,380,0.139513
1.5,400,0.117720
1.5,420,0.164789
1.5,440,0.113459
1.5,460,0.097854
1.5,480,0.098021
1.5,500,0.091471
1.5,520,0.192398
1.5,540,0.221311
1.5,560,0.245144
1.5,580,0.219672
1.5,600,0.246091
1.5,620,0.168872
1.5,640,0.254296
1.5,660,0.192802
1.5,680,0.211606
1.5,700,0.205296
1.5,720,0.225774
1.5,740,0.248561
1.5,760,0.228322
1.5,780,0.156998
1.5,800,0.153251
1.5,820,0.136261
1.5,840,0.106125
1.5,860,0.099434
1.5,880,0.083580
1.5,900,0.143405
1.5,920,0.170798
1.5,940,0.229450
1.5,960,0.151862
1.5,980,0.105982
1.5,1000,0.160538
1.5,1020,0.140770
1.5,1040,0.133971
1.5,1060,0.136890
1.5,1080,0.087756
1.5,1100,0.071989
1.5,1120,0.068669
1.5,1140,0.111162
1.5,1160,0.150843
1.5,1180,0.181269
1.5,1200,0.215548
1.5,1220,0.199539
1.5,1240,0.189660
1.5,1260,0.187042
1.5,1280,0.170620
1.5,1300,0.244083
1.5,1320,0.255109
1.5,1340,0.212552
1.5,1360,0.220631
1.5,1380,0.067344
1.5,1400,0.098443
1.5,1420,0.143725
1.5,1440,0.149312
1.5,1460,0.146367
1.5,1480,0.174757
1.5,1500,0.187942
1.5,1520,0.157348
1.5,1540,0.215411
1.5,1560,0.239019
1.5,1580,0.163695
1.5,1600,0.153756
1.5,1620,0.151314
1.5,1640,0.160381
1.5,1660,0.135057
1.5,1680,0.151099
1.5,1700,0.164225
1.5,1720,0.171958
1.5,1740,0.190113
1.5,1760,0.175140
1.5,1780,0.200403
1.5,1800,0.188452
1.5,1820,0.272924
1.5,1840,0.162857
1.5,1860,0.187718
1.5,1880,0.265491
1.5,1900,0.254289
1.5,1920,0.252706
1.5,1940,0.232352
1.5,1960,0.134909
1.5,1980,0.193191
1.5,2000,0.137177
1.5,2020,0.150328
1.5,2040,0.152022
1.5,2060,0.184389
1.5,2080,0.138969
1.5,2100,0.142069
1.5,2120,0.084066
1.5,2140,0.173746
1.5,2160,0.174719
1.5,2180,0.223802
1.5,2200,0.246034
1.5,2220,0.189568
1.5,2240,0.183376
1.5,2260,0.161371
1.5,2280,0.180751
1.5,2300,0.250580
1.5,2320,0.250511
1.5,2340,0.161848
1.5,2360,0.087442
1.5,2380,0.080258
1.5,2400,0.127280
1.5,2420,0.123282
1.5,2440,0.130118
1.5,2460,0.188541
1.5,2480,0.166601
1.5,2500,0.154547
1.5,2520,0.166200
1.5,2540,0.155712
1.5,2560,0.218382
1.5,2580,0.144140
1.5,2600,0.056137
1.5,2620,0.182273
1.5,2640,0.145874
1.5,2660,0.106708
1.5,2680,0.065024
1.5,2700,0.053656
1.5,2720,0.122055
1.5,2740,0.124624
1.5,2760,0.167441
1.5,2780,0.188060
1.5,2800,0.174421
1.5,2820,0.114725
1.5,2840,0.138813
1.5,2860,0.177884
1.5,2880,0.135182
1.5,2900,0.119958
1.5,2920,0.139662
1.5,2940,0.144609
1.5,2960,0.149485
1.5,2980,0.162774
1.5,3000,0.181229
1.5,3020,0.186922
1.5,3040,0.172031
1.5,3060,0.246886
1.5,3080,0.255498
1.5,3100,0.173462
1.5,3120,0.216976
1.5,3140,0.288153
1.5,3160,0.310732
1.5,3180,0.303344
1.5,3200,0.166629
1.5,3220,0.199727
1.5,3240,0.196870
1.5,3260,0.197439
1.5,3280,0.201126
1.5,3300,0.152286
1.5,3320,0.209570
1.5,3340,0.252577
1.5,3360,0.326204
1.5,3380,0.253468
1.5,3400,0.199317
1.5,3420,0.141518
1.5,3440,0.175416
1.5,3460,0.174078
1.5,3480,0.193219
1.5,3500,0.320080
1.5,3520,0.312008
1.5,3540,0.296631
1.5,3560,0.235654
1.5,3580,0.122092
1.5,3600,0.353530
1.5,3620,0.343152
1.5,3640,0.327401
1.5,3660,0.310787
1.5,3680,0.292856
1.5,3700,0.282770
1.5,3720,0.295917
1.5,3740,0.309914
1.5,3760,0.303252
1.5,3780,0.319966
1.5,3800,0.304633
1.5,3820,0.241469
1.5,3840,0.093287
1.5,3860,0.273343
1.5,3880,0.319170
1.5,3900,0.333651
1.5,3920,0.329248
1.5,3940,0.328887
1.5,3960,0.330128
1.5,3980,0.274099
1.5,4000,0.248978
1.5,4020,0.203400
1.5,4040,0.115778
1.5,4060,0.125170
1.5,4080,0.126926
1.5,4100,0.145400
1.5,4120,0.164680
1.5,4140,0.134750
1.5,4160,0.203544
1.5,4180,0.264530
1.5,4200,0.379015
1.5,4220,0.374886
1.5,4240,0.389257
1.5,4260,0.271377
1.5,4280,0.239772
1.5,4300,0.250217
1.5,4320,0.295363
1.5,4340,0.305243
1.5,4360,0.271212
1.5,4380,0.309682
1.5,4400,0.233258
1.5,4420,0.283706
1.5,4440,0.081446
1.5,4460,0.160549
1.5,4480,0.196384
1.5,4500,0.093887
1.5,4520,0.173651
1.5,4540,0.194752
1.5,4560,0.211213
1.5,4580,0.177868
1.5,4600,0.169839
1.5,4620,0.198105
1.5,4640,0.182161
1.5,4660,0.198867
1.5,4680,0.081371
1.5,4700,0.114610
1.5,4720,0.058890
1.5,4740,0.124646
1.5,4760,0.197959
1.5,4780,0.084570
1.5,4800,0.149108
1.5,4820,0.176459
1.5,4840,0.271058
1.5,4860,0.271639
1.5,4880,0.303191
1.5,4900,0.241420
1.5,4920,0.247407
1.5,4940,0.300972
1.5,4960,0.353219
1.5,4980,0.346217
1.5,5000,0.236932
1.5,5020,0.253456
1.5,5040,0.251777
1.5,5060,0.241612
1.5,5080,0.257092
1.5,5100,0.273325
1.5,5120,0.433888
1.5,5140,0.278329
1.5,5160,0.261651
1.5,5180,0.415902
1.5,5200,0.406697
1.5,5220,0.389577
1.5,5240,0.342242
1.5,5260,0.322086
1.5,5280,0.222283
1.5,5300,0.239192
1.5,5320,0.206516
1.5,5340,0.212025
1.5,5360,0.253108
1.5,5380,0.358205
1.5,5400,0.368230
1.5,5420,0.361970
1.5,5440,0.465876
1.5,5460,0.403428
1.5,5480,0.407016
1.5,5500,0.344785
1.5,5520,0.212014
1.5,5540,0.199823
1.5,5560,0.063931
1.5,5580,0.050175
1.5,5600,0.183245
1.5,5620,0.334962
1.5,5640,0.431026
1.5,5660,0.440949
1.5,5680,0.484736
1.5,5700,0.341340
1.5,5720,0.292097
1.5,5740,0.246695
1.5,5760,0.176648
1.5,5780,0.085172
1.5,5800,0.078092
1.5,5820,0.059227
1.5,5840,0.042592
1.5,5860,0.201243
1.5,5880,0.260629
1.5,5900,0.363730
1.5,5920,0.316041
1.5,5940,0.195097
1.5,5960,0.229945
1.5,5980,0.234371
1.5,6000,0.211004
1.5,6020,0.192469
1.5,6040,0.153419
1.5,6060,0.139521
1.5,6080,0.132409
1.5,6100,0.254455
1.5,6120,0.225501
1.5,6140,0.228577
1.5,6160,0.238249
1.5,6180,0.345607
1.5,6200,0.300272
1.5,6220,0.295840
1.5,6240,0.216523
1.5,6260,0.232149
1.5,6280,0.156347
1.5,6300,0.144150
1.5,6320,0.115282
1.5,6340,0.216783
1.5,6360,0.220445
1.5,6380,0.238314
1.5,6400,0.239169
1.5,6420,0.209747
1.5,6440,0.038678
1.5,6460,0.121787
1.5,6480,0.133733
1.5,6500,0.111192
1.5,6520,0.198154
1.5,6540,0.214009
1.5,6560,0.143122
1.5,6580,0.150827
1.5,6600,0.190004
1.5,6620,0.175770
1.5,6640,0.194379
1.5,6660,0.201544
1.5,6680,0.213156
1.5,6700,0.206892
1.5,6720,0.192778
1.5,6740,0.198015
1.5,6760,0.210799
1.5,6780,0.145166
1.5,6800,0.215840
1.5,6820,0.235077
1.5,6840,0.257059
1.5,6860,0.249862
1.5,6880,0.179656
1.5,6900,0.225799
1.5,6920,0.181475
1.5,6940,0.140849
1.5,6960,0.240985
1.5,6980,0.226800
1.5,7000,0.197979
1.5,7020,0.175822
1.5,7040,0.170221
1.5,7060,0.211849
1.5,7080,0.226818
1.5,7100,0.210422
1.5,7120,0.227287
1.5,7140,0.070470
1.5,7160,0.093263
1.5,7180,0.167713
1.5,7200,0.179772
1.5,7220,0.207706
1.5,7240,0.232658
1.5,7260,0.271223
1.5,7280,0.195186
1.5,7300,0.203685
1.5,7320,0.195962
1.5,7340,0.243325
1.5,7360,0.245857
1.5,7380,0.352416
1.5,7400,0.254640
1.5,7420,0.362126
1.5,7440,0.358966
1.5,7460,0.365243
1.5,7480,0.394343
1.5,7500,0.304140
1.5,7520,0.397564
1.5,7540,0.406093
1.5,7560,0.339364
1.5,7580,0.320253
1.5,7600,0.370871
1.5,7620,0.297021
1.5,7640,0.238070
1.5,7660,0.278019
1.5,7680,0.342979
1.5,7700,0.367003
1.5,7720,0.381272
1.5,7740,0.363067
1.5,7760,0.444418
1.5,7780,0.391741
1.5,7800,0.377410
1.5,7820,0.333219
1.5,7840,0.334528
1.5,7860,0.308802
1.5,7880,0.251826
1.5,7900,0.162800
1.5,7920,0.083170
1.5,7940,0.126752
1.5,7960,0.269602
1.5,7980,0.251368
1.5,8000,0.234367
1.5,8020,0.247822
1.5,8040,0.250128
1.5,8060,0.224935
1.5,8080,0.277225
1.5,8100,0.332225
1.5,8120,0.349283
1.5,8140,0.350364
1.5,8160,0.376013
1.5,8180,0.233446
1.5,8200,0.197510
1.5,8220,0.166441
1.5,8240,0.147804
1.5,8260,0.152216
1.5,8280,0.276401
1.5,8300,0.338687
1.5,8320,0.352429
1.5,8340,0.387342
1.5,8360,0.440775
1.5,8380,0.430222
1.5,8400,0.370129
1.5,8420,0.350176
1.5,8440,0.323417
1.5,8460,0.356979
1.5,8480,0.229873
1.5,8500,0.185245
1.5,8520,0.189844
1.5,8540,0.370103
1.5,8560,0.360680
1.5,8580,0.360335
1.5,8600,0.367585
1.5,8620,0.446444
1.5,8640,0.369857
1.5,8660,0.327570
1.5,8680,0.197367
1.5,8700,0.198868
1.5,8720,0.229839
1.5,8740,0.229182
1.5,8760,0.242665
1.5,8780,0.202511
1.5,8800,0.209888
1.5,8820,0.217394
1.5,8840,0.263913
1.5,8860,0.338088
1.5,8880,0.286556
1.5,8900,0.391438
1.5,8920,0.367376
1.5,8940,0.378421
1.5,8960,0.426362
1.5,8980,0.428369
3.0,0,0.054890
3.0,20,0.081143
3.0,40,0.086203
3.0,60,0.054987
3.0,80,0.062714
3.0,100,0.063164
3.0,120,0.120716
3.0,140,0.188329
3.0,160,0.185555
3.0,180,0.151673
3.0,200,0.092296
3.0,220,0.087760
3.0,240,0.099972
3.0,260,0.137483
3.0,280,0.091357
3.0,300,0.157154
3.0,320,0.192343
3.0,340,0.217741
3.0,360,0.218673
3.0,380,0.243513
3.0,400,0.262039
3.0,420,0.314167
3.0,440,0.303246
3.0,460,0.251635
3.0,480,0.199344
3.0,500,0.214630
3.0,520,0.176620
3.0,540,0.180775
3.0,560,0.130932
3.0,580,0.124314
3.0,600,0.219468
3.0,620,0.227315
3.0,640,0.200655
3.0,660,0.257926
3.0,680,0.251740
3.0,700,0.250846
3.0,720,0.286321
3.0,740,0.315871
3.0,760,0.356808
3.0,780,0.233178
3.0,800,0.150716
3.0,820,0.195784
3.0,840,0.228734
3.0,860,0.230297
3.0,880,0.209948
3.0,900,0.137438
3.0,920,0.075149
3.0,940,0.196879
3.0,960,0.206638
3.0,980,0.190545
3.0,1000,0.204379
3.0,1020,0.221954
3.0,1040,0.284036
3.0,1060,0.286448
3.0,1080,0.403181
3.0,1100,0.422232
3.0,1120,0.304038
3.0,1140,0.309611
3.0,1160,0.177029
3.0,1180,0.128859
3.0,1200,0.177925
3.0,1220,0.297524
3.0,1240,0.288624
3.0,1260,0.265186
3.0,1280,0.262145
3.0,1300,0.304053
3.0,1320,0.343437
3.0,1340,0.274034
3.0,1360,0.344478
3.0,1380,0.317130
3.0,1400,0.164279
3.0,1420,0.208268
3.0,1440,0.203884
3.0,1460,0.266309
3.0,1480,0.287768
3.0,1500,0.362859
3.0,1520,0.388655
3.0,1540,0.395439
3.0,1560,0.424093
3.0,1580,0.197417
